Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
0,40,Other,4,7.333333333333334,135,383403
0,30,Tech,7,4.0,9,167600
0,40,Tech,7,7.333333333333334,150,454997
0,47,Tech,7,9.666666666666666,137,1024965
0,32,Other,4,4.666666666666666,73,249442
1,35,Tech,7,5.666666666666666,108,312856
0,37,Other,4,6.333333333333334,147,285580
1,31,Other,4,4.333333333333334,38,96221
0,33,Other,4,5.0,36,84392
1,32,Other,4,4.666666666666666,71,157291
1,28,Other,4,3.333333333333334,9,102266
0,41,Operations,3,7.666666666666666,154,163092
0,31,Media,2,4.333333333333334,42,176041
1,41,Tech,7,7.666666666666666,94,321718
1,31,Tech,7,4.333333333333334,67,179623
1,29,Tech,7,3.666666666666666,32,180489
0,42,Other,4,8.0,21,467780
1,36,Other,4,6.0,84,99142
0,40,Other,4,7.333333333333334,86,243478
0,31,Tech,7,4.333333333333334,39,172598
