Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
0,31,Other,4,4.333333333333334,75,202840
0,36,Other,4,6.0,64,116839
0,28,Tech,7,3.333333333333334,32,115128
0,30,Engineering,0,4.0,23,200556
1,32,Tech,7,4.666666666666666,77,132061
0,31,Media,2,4.333333333333334,48,221544
0,31,Engineering,0,4.333333333333334,33,133636
0,30,Other,4,4.0,26,141230
1,33,Media,2,5.0,77,187720
1,30,Finance,1,4.0,75,119557
0,35,Sales,6,5.666666666666666,29,212250
0,34,Other,4,5.333333333333334,12,99871
1,37,Tech,7,6.333333333333334,62,224091
1,29,Media,2,3.666666666666666,79,127917
1,29,Operations,3,3.666666666666666,55,133337
0,33,Other,4,5.0,78,374912
1,29,Finance,1,3.666666666666666,25,99325
1,32,Finance,1,4.666666666666666,70,104000
0,37,Media,2,6.333333333333334,71,367155
1,32,Other,4,4.666666666666666,35,192799
0,35,Media,2,5.666666666666666,65,332960
0,36,Other,4,6.0,71,271871
0,29,Operations,3,3.666666666666666,74,172798
0,29,Other,4,3.666666666666666,21,149353
1,30,Other,4,4.0,75,162016
0,31,Other,4,4.333333333333334,77,236285
0,34,Tech,7,5.333333333333334,48,240900
0,35,Other,4,5.666666666666666,30,149228
1,29,Other,4,3.666666666666666,75,209297
1,31,Product,5,4.333333333333334,69,135063
1,33,Tech,7,5.0,67,218694
0,31,Other,4,4.333333333333334,52,114375
0,33,Media,2,5.0,71,277920
0,37,Other,4,6.333333333333334,85,120781
0,31,Other,4,4.333333333333334,70,209503
0,33,Product,5,5.0,92,203468
0,37,Tech,7,6.333333333333334,23,234061
0,29,Product,5,3.666666666666666,92,178533
0,33,Other,4,5.0,26,87890
0,32,Other,4,4.666666666666666,66,225519
0,29,Other,4,3.666666666666666,58,148573
0,28,Other,4,3.333333333333334,20,124559
0,32,Other,4,4.666666666666666,76,116201
0,29,Tech,7,3.666666666666666,41,110666
1,35,Other,4,5.666666666666666,90,313460
0,33,Other,4,5.0,55,216690
0,37,Engineering,0,6.333333333333334,26,296629
0,35,Media,2,5.666666666666666,87,239865
0,33,Finance,1,5.0,67,112193
0,34,Media,2,5.333333333333334,62,280473
1,28,Tech,7,3.333333333333334,46,144322
1,34,Media,2,5.333333333333334,69,242336
0,31,Tech,7,4.333333333333334,86,238054
1,29,Tech,7,3.666666666666666,49,138925
1,29,Media,2,3.666666666666666,32,137280
0,33,Tech,7,5.0,41,284667
1,32,Tech,7,4.666666666666666,35,103413
1,29,Other,4,3.666666666666666,81,154834
1,28,Operations,3,3.333333333333334,81,129858
0,38,Other,4,6.666666666666666,63,121168
0,29,Tech,7,3.666666666666666,48,174089
0,38,Engineering,0,6.666666666666666,36,400848
0,33,Tech,7,5.0,33,286415
0,32,Other,4,4.666666666666666,43,163872
0,34,Media,2,5.333333333333334,31,296308
0,40,Other,4,7.333333333333334,12,198367
0,31,Other,4,4.333333333333334,52,168590
0,34,Other,4,5.333333333333334,26,166817
0,37,Product,5,6.333333333333334,28,381274
0,35,Tech,7,5.666666666666666,81,559084
0,39,Sales,6,7.0,12,432400
0,35,Other,4,5.666666666666666,61,281660
0,34,Other,4,5.333333333333334,33,151863
1,29,Tech,7,3.666666666666666,37,153655
0,36,Tech,7,6.0,84,296066
0,29,Tech,7,3.666666666666666,84,212708
0,28,Tech,7,3.333333333333334,19,140140
1,30,Other,4,4.0,81,121135
1,32,Media,2,4.666666666666666,35,162967
0,39,Product,5,7.0,38,173915
1,34,Other,4,5.333333333333334,38,166280
1,38,Tech,7,6.666666666666666,56,275196
0,29,Tech,7,3.666666666666666,23,172259
1,31,Finance,1,4.333333333333334,91,99648
1,30,Other,4,4.0,38,123232
0,33,Other,4,5.0,84,261530
1,37,Sales,6,6.333333333333334,31,118810
0,32,Finance,1,4.666666666666666,64,89757
0,32,Tech,7,4.666666666666666,67,277327
0,36,Media,2,6.0,63,220601
1,36,Engineering,0,6.0,37,130710
0,29,Other,4,3.666666666666666,29,187090
0,36,Media,2,6.0,35,252249
1,29,Product,5,3.666666666666666,81,152149
0,33,Other,4,5.0,33,188617
0,30,Other,4,4.0,58,172232
0,31,Tech,7,4.333333333333334,65,72929
0,40,Engineering,0,7.333333333333334,37,272687
1,36,Operations,3,6.0,89,236048
0,39,Sales,6,7.0,96,362033
0,36,Tech,7,6.0,88,382988
1,31,Tech,7,4.333333333333334,72,188621
0,40,Sales,6,7.333333333333334,86,274588
0,35,Finance,1,5.666666666666666,93,122480
0,41,Tech,7,7.666666666666666,52,390375
0,42,Media,2,8.0,38,341364
0,33,Other,4,5.0,63,213219
1,32,Tech,7,4.666666666666666,64,208756
1,36,Media,2,6.0,32,194994
0,28,Tech,7,3.333333333333334,42,130957
0,32,Operations,3,4.666666666666666,50,185693
0,36,Sales,6,6.0,35,119724
0,34,Other,4,5.333333333333334,33,196477
0,39,Other,4,7.0,71,130814
0,30,Tech,7,4.0,54,130294
0,35,Media,2,5.666666666666666,133,476046
0,30,Engineering,0,4.0,17,266879
0,39,Tech,7,7.0,29,164276
0,35,Other,4,5.666666666666666,63,273394
0,31,Tech,7,4.333333333333334,28,304702
0,32,Other,4,4.666666666666666,35,102846
0,35,Other,4,5.666666666666666,38,348617
1,32,Sales,6,4.666666666666666,23,78350
0,35,Other,4,5.666666666666666,105,286230
1,36,Other,4,6.0,34,180518
0,38,Engineering,0,6.666666666666666,24,317410
0,32,Other,4,4.666666666666666,104,195250
0,38,Media,2,6.666666666666666,35,246014
0,36,Other,4,6.0,126,191767
0,32,Other,4,4.666666666666666,139,270000
1,44,Other,4,8.666666666666666,190,202191
0,37,Other,4,6.333333333333334,151,187782
0,36,Finance,1,6.0,103,109934
0,49,Tech,7,10.333333333333332,120,519979
1,29,Media,2,3.666666666666666,64,235809
0,31,Other,4,4.333333333333334,56,152434
0,38,Other,4,6.666666666666666,154,259048
0,42,Tech,7,8.0,139,278248
0,42,Operations,3,8.0,173,254923
1,38,Other,4,6.666666666666666,108,238415
0,42,Finance,1,8.0,123,385084
0,39,Other,4,7.0,41,177146
1,35,Engineering,0,5.666666666666666,148,263158
1,28,Operations,3,3.333333333333334,10,142833
0,35,Other,4,5.666666666666666,108,183986
0,31,Operations,3,4.333333333333334,62,200475
0,38,Finance,1,6.666666666666666,106,197567
0,38,Operations,3,6.666666666666666,37,201104
0,37,Media,2,6.333333333333334,102,352455
1,38,Finance,1,6.666666666666666,146,118705
0,33,Other,4,5.0,136,344397
0,40,Other,4,7.333333333333334,113,564931
0,35,Other,4,5.666666666666666,127,262776
0,40,Media,2,7.333333333333334,190,494391
0,38,Finance,1,6.666666666666666,151,269344
0,35,Other,4,5.666666666666666,144,363462
0,38,Other,4,6.666666666666666,114,267435
0,33,Media,2,5.0,80,196804
0,38,Media,2,6.666666666666666,83,375290
0,40,Other,4,7.333333333333334,87,211594
1,29,Other,4,3.666666666666666,60,111078
0,31,Other,4,4.333333333333334,87,142024
0,42,Tech,7,8.0,94,201071
1,33,Sales,6,5.0,93,285436
0,35,Tech,7,5.666666666666666,101,228296
0,41,Finance,1,7.666666666666666,104,133761
0,42,Tech,7,8.0,118,205742
1,29,Other,4,3.666666666666666,48,116053
0,38,Other,4,6.666666666666666,144,330280
0,44,Sales,6,8.666666666666666,190,634733
0,29,Tech,7,3.666666666666666,42,146703
0,33,Other,4,5.0,35,239695
0,43,Product,5,8.333333333333334,85,491032
0,47,Other,4,9.666666666666666,96,465851
0,30,Finance,1,4.0,24,93105
0,28,Other,4,3.333333333333334,69,106644
1,37,Other,4,6.333333333333334,61,364113
0,34,Engineering,0,5.333333333333334,79,298537
0,36,Engineering,0,6.0,70,220125
0,30,Other,4,4.0,50,163222
0,33,Tech,7,5.0,77,178437
0,37,Other,4,6.333333333333334,47,290572
